country,country_iso3,year,type,station_count,capacity_gw
Malawi,MWI,2030,wind,341,2.373197
Malawi,MWI,2040,solar,186,0.885874
Malawi,MWI,2040,wind,341,2.606061
Malawi,MWI,2050,solar,187,1.074148
Malawi,MWI,2050,wind,341,3.769019
Malaysia,MYS,2030,solar,577,7.070524
Malaysia,MYS,2030,wind,512,4.832477
Malaysia,MYS,2040,solar,578,7.818812
Malaysia,MYS,2040,wind,514,5.585368
Malaysia,MYS,2050,solar,579,9.639483
Malaysia,MYS,2050,wind,594,7.742179
Mali,MLI,2030,solar,1357,11.473197
Mali,MLI,2030,wind,1208,19.671142
Mali,MLI,2040,solar,1357,12.423244
Mali,MLI,2040,wind,1208,20.996694
Mali,MLI,2050,solar,1359,16.453602
Mali,MLI,2050,wind,1225,26.99403
Mauritania,MRT,2030,solar,463,7.794147
Mauritania,MRT,2030,wind,119,1.610624
Mauritania,MRT,2040,solar,463,8.612116
Mauritania,MRT,2040,wind,119,1.823745
Mauritania,MRT,2050,solar,463,10.996707
Mauritania,MRT,2050,wind,119,2.767405
Mexico,MEX,2030,solar,6727,66.939678
Mexico,MEX,2030,wind,6545,90.393498
Mexico,MEX,2040,solar,6737,73.39264
Mexico,MEX,2040,wind,6551,100.569133
Mexico,MEX,2050,solar,6782,97.902103
Mexico,MEX,2050,wind,6890,133.569391
Moldova,MDA,2030,solar,138,0.285833
Moldova,MDA,2030,wind,150,5.340699
Moldova,MDA,2040,solar,138,0.337447
Moldova,MDA,2040,wind,150,5.902036
Moldova,MDA,2050,solar,139,0.476661
Moldova,MDA,2050,wind,150,8.309134
Mongolia,MNG,2030,solar,2608,92.234194
Mongolia,MNG,2030,wind,2391,79.128841
Mongolia,MNG,2040,solar,2643,138.199936
Mongolia,MNG,2040,wind,2391,85.168877
Mongolia,MNG,2050,solar,2722,156.548341
Mongolia,MNG,2050,wind,2523,116.621698
Montenegro,MNE,2030,solar,54,0.218924
Montenegro,MNE,2030,wind,41,0.099099
Montenegro,MNE,2040,solar,84,0.305306
Montenegro,MNE,2040,wind,41,0.114544
Montenegro,MNE,2050,solar,84,0.305306
Montenegro,MNE,2050,wind,41,0.202012
Morocco,MAR,2030,solar,1811,28.540215
Morocco,MAR,2030,wind,1612,13.274896
Morocco,MAR,2040,solar,1811,31.435847
Morocco,MAR,2040,wind,1612,14.629837
Morocco,MAR,2050,solar,1958,42.797566
Morocco,MAR,2050,wind,1698,20.133929
Mozambique,MOZ,2030,solar,1413,16.367886
Mozambique,MOZ,2030,wind,957,13.233632
Mozambique,MOZ,2040,solar,1416,18.068993
Mozambique,MOZ,2040,wind,957,14.27272
Mozambique,MOZ,2050,solar,1431,24.123098
Mozambique,MOZ,2050,wind,1001,20.440945
Myanmar,MMR,2030,solar,1088,9.65759
Myanmar,MMR,2030,wind,1819,29.725602
Myanmar,MMR,2040,solar,1088,10.820493
Myanmar,MMR,2040,wind,1822,34.151759
Myanmar,MMR,2050,solar,1148,13.521634
Myanmar,MMR,2050,wind,1875,46.280518
N. Cyprus,-99,2030,solar,22,1.021779
N. Cyprus,-99,2040,solar,22,1.219445
N. Cyprus,-99,2050,solar,22,1.308992
Namibia,NAM,2030,solar,2083,36.759921
Namibia,NAM,2030,wind,1104,12.606413
Namibia,NAM,2040,solar,2083,39.866008
Namibia,NAM,2040,wind,1149,13.916715
Namibia,NAM,2050,solar,2201,51.607296
Namibia,NAM,2050,wind,1214,18.864552
Nepal,NPL,2030,solar,234,1.100701
Nepal,NPL,2030,wind,273,2.71155
Nepal,NPL,2040,solar,234,1.172179
Nepal,NPL,2040,wind,273,3.095757
Nepal,NPL,2050,solar,242,1.587325
Nepal,NPL,2050,wind,332,4.140093
Netherlands,NLD,2030,solar,407,6.721171
Netherlands,NLD,2030,wind,110,2.229817
Netherlands,NLD,2040,solar,420,15.328389
Netherlands,NLD,2040,wind,112,2.465904
Netherlands,NLD,2050,solar,422,15.334928
Netherlands,NLD,2050,wind,112,3.357304
New Caledonia,NCL,2030,solar,16,0.159104
New Caledonia,NCL,2040,solar,16,0.188194
New Caledonia,NCL,2050,solar,16,0.270631
New Zealand,NZL,2030,solar,890,11.320134
New Zealand,NZL,2030,wind,779,10.361957
New Zealand,NZL,2040,solar,891,12.602492
New Zealand,NZL,2040,wind,782,11.066543
New Zealand,NZL,2050,solar,894,15.402711
New Zealand,NZL,2050,wind,782,14.83293
Nicaragua,NIC,2030,solar,364,3.040911
Nicaragua,NIC,2030,wind,187,0.519789
Nicaragua,NIC,2040,solar,365,3.167315
Nicaragua,NIC,2040,wind,187,0.586068
Nicaragua,NIC,2050,solar,365,4.036563
Nicaragua,NIC,2050,wind,189,0.860542
Niger,NER,2030,solar,805,13.73906
Niger,NER,2030,wind,375,2.417317
Niger,NER,2040,solar,805,14.933221
