country,country_en,country_iso3,patch_id,geometry_intersects,station_observed_ssp126,station_count_ssp126,capacity_gw_ssp126,station_observed_ssp245,station_count_ssp245,capacity_gw_ssp245,station_observed_ssp585,station_count_ssp585,capacity_gw_ssp585
Slovenia,Slovenia,SVN,R02C07,True,True,1139,9.674747,True,1139,9.674747,True,1139,9.674747
Solomon Is.,Solomon Islands,SLB,R04C12,True,False,0,0,False,0,0,False,0,0
Somalia,Somalia,SOM,R03C08,True,False,0,0,False,0,0,False,0,0
Somalia,Somalia,SOM,R04C08,True,True,18,0.779226,False,18,0.779226,False,18,0.779226
Somaliland,Somaliland,-99,R03C08,True,True,1592,37.544261,True,1592,37.544261,True,1592,37.544261
South Africa,South Africa,ZAF,R04C07,True,True,49984,639.074938,True,49984,639.074938,True,49984,639.074938
South Africa,South Africa,ZAF,R04C08,True,True,10612,153.871078,True,10612,153.871078,True,10612,153.871078
South Africa,South Africa,ZAF,R05C07,True,True,19125,346.298081,True,19125,346.298081,True,19125,346.298081
South Africa,South Africa,ZAF,R05C08,True,False,173,5.590922,True,173,5.590922,False,173,5.590922
South Korea,South Korea,KOR,R02C11,True,True,3266,54.479804,True,3266,54.479804,True,3266,54.479804
Spain,Spain,ESP,R02C06,True,True,42719,435.742462,True,42719,435.742462,True,42719,435.742462
Spain,Spain,ESP,R02C07,True,True,2561,13.992009,True,2561,13.992009,True,2561,13.992009
Sri Lanka,Sri Lanka,LKA,R03C09,True,True,4717,152.71774,True,4717,152.71774,True,4717,152.71774
Sudan,Sudan,SDN,R03C07,True,True,3494,119.466922,True,3494,119.466922,True,3494,119.466922
Sudan,Sudan,SDN,R03C08,True,True,19529,449.675393,True,19529,449.675393,True,19529,449.675393
Suriname,Suriname,SUR,R03C05,True,True,476,6.038552,True,476,6.038552,True,476,6.038552
Sweden,Sweden,SWE,R01C07,True,True,1277,3.059913,True,1277,3.059913,True,1277,3.059913
